Epoch : 1  | Loss : 0.27461838333253913  
Epoch : 2  | Loss : 0.27222696941250235 
Epoch : 3  | Loss : 0.2761069958534741 
Epoch : 4  | Loss : 0.28087187669008 
Epoch : 5  | Loss : 0.29083316844576157 
Epoch : 6  | Loss : 0.2997291077766725 
Epoch : 7  | Loss : 0.29998023634946375 
Epoch : 8  | Loss : 0.2856559142335124 
Epoch : 9  | Loss : 0.2763158679237697 
Epoch : 10  | Loss : 0.2633252558243255 
Epoch : 11  | Loss : 0.2545161792219666 
Epoch : 12  | Loss : 0.24335428713546534 
Epoch : 13  | Loss : 0.2338941853319823 
Epoch : 14  | Loss : 0.22360352536102127 
Epoch : 15  | Loss : 0.2166764901575905 
Epoch : 16  | Loss : 0.2060184831358693 
Epoch : 17  | Loss : 0.1979017452430109 
Epoch : 18  | Loss : 0.19064340211647032 
Epoch : 19  | Loss : 0.1834167192047274 
Epoch : 20  | Loss : 0.17911852749975402 
